oligo	actualcounts	mappedcounts
UTR15.oligo526	937	937
UTR4.oligo546	1005	1005
UTR5.oligo39	1639	1639
UTR2.oligo187	1815	1815
UTR16.oligo0	782	782
UTR5.oligo247	845	845
UTR17.oligo739	1608	1608
UTR4.oligo405	189	189
UTR7.oligo391	1321	1321
UTR16.oligo630	880	880
UTR1.oligo505	1836	1836
UTR15.oligo863	1713	1713
UTR6.oligo333	828	828
UTR13.oligo207	1219	1219
UTR15.oligo319	644	644
UTR10.oligo291	1396	1396
UTR6.oligo545	1825	1825
UTR17.oligo563	1296	1296
UTR16.oligo164	1031	1031
UTR12.oligo734	1692	1692
UTR5.oligo296	1424	1424
UTR15.oligo259	464	464
UTR7.oligo0	1698	1698
UTR13.oligo15	774	774
UTR6.oligo139	1125	1125
UTR7.oligo423	1575	1575
UTR3.oligo404	1271	1271
UTR7.oligo430	877	877
UTR15.oligo923	1866	1866
UTR5.oligo104	973	973
UTR17.oligo788	727	727
UTR10.oligo122	1840	1840
UTR15.oligo286	1213	1213
UTR13.oligo472	1764	1764
UTR9.oligo270	1571	1571
UTR12.oligo747	724	724
UTR9.oligo265	791	791
UTR9.oligo374	997	997
UTR15.oligo927	1686	1686
UTR4.oligo59	1428	1428
UTR15.oligo681	1870	1870
UTR17.oligo247	1001	1001
UTR15.oligo109	1571	1571
UTR7.oligo463	1823	1823
UTR16.oligo477	1125	1125
UTR6.oligo273	1204	1204
UTR1.oligo457	1543	1543
UTR2.oligo115	1910	1910
UTR9.oligo244	1280	1280
UTR17.oligo88	1692	1692
UTR10.oligo485	1080	1080
UTR7.oligo636	885	885
UTR4.oligo276	228	228
UTR15.oligo671	1054	1054
UTR5.oligo308	1613	1613
UTR17.oligo477	253	253
UTR3.oligo164	1774	1774
UTR14.oligo1	639	639
UTR13.oligo258	466	466
UTR5.oligo116	947	947
UTR1.oligo721	1693	1693
UTR17.oligo712	1681	1681
UTR9.oligo366	1705	1705
UTR17.oligo124	1831	1831
UTR14.oligo91	1462	1462
UTR15.oligo301	845	845
UTR17.oligo518	1240	1240
UTR6.oligo279	1268	1268
UTR3.oligo86	1649	1649
UTR6.oligo191	378	378
UTR15.oligo254	656	656
UTR12.oligo549	513	513
UTR15.oligo278	1698	1698
UTR1.oligo650	435	435
UTR5.oligo132	543	543
UTR6.oligo259	883	883
UTR7.oligo701	321	321
UTR17.oligo726	645	645
UTR3.oligo229	1546	1546
UTR16.oligo569	1313	1313
UTR1.oligo202	1810	1810
UTR14.oligo199	404	404
UTR12.oligo666	1658	1658
UTR1.oligo40	1672	1672
UTR7.oligo154	1882	1882
UTR11.oligo172	1509	1509
UTR4.oligo50	985	985
UTR2.oligo209	781	781
UTR4.oligo461	778	778
UTR2.oligo134	1457	1457
UTR1.oligo207	1159	1159
UTR13.oligo19	1299	1299
UTR15.oligo783	1521	1521
UTR13.oligo410	706	706
UTR9.oligo441	740	740
UTR6.oligo496	711	711
UTR1.oligo79	729	729
UTR8.oligo75	1471	1471
UTR6.oligo404	1753	1753
UTR1.oligo524	1567	1567
UTR7.oligo648	394	394
UTR13.oligo215	1134	1134
UTR4.oligo419	1736	1736
UTR17.oligo579	815	815
UTR12.oligo583	740	740
UTR16.oligo139	1240	1240
UTR1.oligo576	833	833
UTR6.oligo157	1917	1917
UTR10.oligo45	1619	1619
UTR13.oligo427	689	689
UTR14.oligo411	1041	1041
UTR1.oligo667	800	800
UTR4.oligo439	1035	1035
UTR15.oligo803	1423	1423
UTR6.oligo523	1760	1760
UTR7.oligo686	1862	1862
UTR3.oligo227	1165	1165
UTR1.oligo807	137	137
UTR6.oligo93	1250	1250
UTR7.oligo242	781	781
UTR6.oligo501	1299	1299
UTR15.oligo123	244	244
UTR9.oligo306	1768	1768
UTR12.oligo378	1635	1635
UTR5.oligo271	1799	1799
UTR4.oligo206	1711	1711
UTR15.oligo59	390	390
UTR2.oligo132	1802	1802
UTR15.oligo587	912	912
UTR1.oligo792	1691	1691
UTR4.oligo796	938	938
UTR16.oligo328	1877	1877
UTR3.oligo160	1467	1467
UTR15.oligo410	1134	1134
UTR1.oligo398	1382	1382
UTR16.oligo308	444	444
UTR15.oligo917	728	728
UTR1.oligo464	1880	1880
UTR1.oligo18	1133	1133
UTR14.oligo363	1504	1504
UTR4.oligo880	1230	1230
UTR5.oligo237	274	274
UTR3.oligo300	1210	1210
UTR4.oligo413	1139	1139
UTR1.oligo765	1912	1912
UTR16.oligo349	1117	1117
UTR16.oligo498	1827	1827
UTR3.oligo166	1878	1878
UTR7.oligo126	1160	1160
UTR15.oligo126	1649	1649
UTR4.oligo84	1058	1058
UTR1.oligo264	1273	1273
UTR15.oligo343	997	997
UTR15.oligo929	1387	1387
UTR7.oligo208	1060	1060
UTR12.oligo785	447	447
UTR17.oligo845	808	808
UTR9.oligo29	1482	1482
UTR4.oligo477	1461	1461
UTR3.oligo421	1805	1805
UTR4.oligo294	1329	1329
UTR10.oligo581	1627	1627
UTR10.oligo329	1033	1033
UTR17.oligo525	1152	1152
UTR15.oligo427	703	703
UTR15.oligo122	1492	1492
UTR12.oligo845	1864	1864
UTR12.oligo680	1079	1079
UTR15.oligo405	1416	1416
UTR17.oligo768	1771	1771
UTR17.oligo385	1039	1039
UTR11.oligo152	1703	1703
UTR16.oligo622	1509	1509
UTR4.oligo687	1074	1074
UTR4.oligo794	688	688
UTR15.oligo515	956	956
UTR3.oligo107	1347	1347
UTR15.oligo299	1869	1869
UTR12.oligo438	1154	1154
UTR12.oligo235	706	706
